,label,title,description,generated_description
65770,4,LG Philips lays claim to OLED crown,"LG Philips is developing what the company claims is the world #39;s largest organic light-emitting diode display. The company, which manufactures thin-film-transistor (TFT) LCD screens in South Korea, unveiled ","LG Philips has clinched the OLED crown with a win over Sony and Samsung. The company, which has been battling for the title for more than a decade, is aiming to become the world #39;s largest manufacturer of LEDs."
92379,4,Dell and Microsoft integrate patch management apps,Dell and Microsoft are working together to integrate their systems management applications to allow customers to update server hardware and software with a single tool.,"Microsoft Corp. and Dell Inc. are partnering to develop software that can help users manage patches and other software, according to a report released today by the two companies."
19032,3,IT Stocks to Influence KOSPI,"The information technology (IT) sector is expected to set the tone of the Korean stock market in the near term after Intel, the worlds largest semiconductor maker, slashed its third-quarter sales forecast last Thursday.","NEW YORK (Reuters) - Shares of KOSPI Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=KOSPI.O target=/stocks/quickinfo/fullquote""&gt;KOSPI.O&lt;/A&gt;, the world's largest IT company, are expected to rise on Thursday as investors look for a boost from the market's growth."
85358,1,Palestinians seek to visit Arafat,Top Palestinian officials are to meet the French president in the hope of visiting the ailing Yasser Arafat.,"PARIS (Reuters) - Palestinians are seeking to visit Yasser Arafat, the leader of the Palestinian Authority, on Thursday, a day after the Palestinian leader said he would not be allowed to leave the country."
54439,3,J J: Cancer Risk in Arthritis Drug," NEW YORK (Reuters) - Johnson   Johnson will send a letter  to doctors next Monday warning them that patients taking its  rheumatoid arthritis drug Remicade may have a higher risk of  lymphoma, a blood cancer, than those not taking the drug, the  company said on Friday.","The risk of developing a heart attack, stroke, or heart attack is high in a drug used to treat arthritis, according to a new study published in the Journal of the American Medical Association."
39908,2,"Sorry, Rix: Sexton Should Be Starter","For four years, the Florida State Seminoles have attempted to groom Chris Rix into a Heisman candidate, national championshipcaliber quarterback.",ATHENS (Sports Network) - The New York Yankees are going to have to wait until the end of the season to see if their starting pitcher will be able to play in the World Series.
77687,2,India #39;s home rule broken at last to give Australia grand slam,"THE moment that all Australian cricket fans had been anticipating for 35 years came at 4.20pm local time. It had been delayed by a frustrating last-wicket stand of 52 in seven overs, but when Zaheer Khan swung ","India #39;s home rule was broken at the end of the first day of the second Test against Australia on Sunday, a move that could give Australia a grand slam title."
7779,1,Swat teams at ready at Australia #39;s small rural airports,Rapid-response Swat police teams will be on standby for terror threats at Australia #39;s small rural airports under the Government #39;s new security plans.,"Australia #39;s small rural airports are preparing for the arrival of a new Swat team, which will be based in the country #39;s capital."
115408,2,Pedro served his purpose here,"He is gone, and that is unfortunate, but it is not tragic or disastrous or catastrophic. Pedro Martinez stats, news was worth every cent the Red Sox stats, schedule ",ATHENS (Reuters) - Pedro Martinez has served his purpose in the United States by playing for the Red Sox in the World Cup of Hockey.
88170,2,Vikings' Losses Echo Last Season's Woes (AP),"AP - After starting 5-1, the Minnesota Vikings have lost two straight, a scary portent for a team that won its first six a year ago, then lost seven of its last 10.",AP - The Minnesota Vikings' loss to the New England Patriots was a repeat of last season's woes.
102799,2,No. 10 Michigan State Routs Nicholls St. (AP),"AP - Led by Maurice Ager's 19 points, No. 10 Michigan State scored more than 100 points for the third straight game in a 102-52 win over Nicholls State on Saturday.",AP - The No. 10 Michigan State football team won its first game of the season with a 6-3 victory over Nicholls State on Saturday night.
81539,3,NY state economic development agency approves proposal,NEW YORK -- A proposal for a \$1.4 billion stadium for the New York Jets professional football team inched ahead on Thursday as the Empire State Development Corp.,"NEW YORK (Reuters) - New York State's economic development agency approved a proposal on Wednesday to create a new state economic development agency, a move that would allow the state to build a new economic development center in New York City."
81128,2,Ecclestone: South Africa will host a race," quot;There will be a South African Grand Prix hosted by Cape Town within five years, quot; Ecclestone told South African newspaper Die Burger.","South Africa will host a race on Saturday, according to a report from the World Cup of Cricket. The report, which was published yesterday, is based on the findings of a study by the World Cup of Cricket."
12592,4,Hewlett Packard gets new mp3 players...iPod style,One of the biggest talked about items around the consumer electronics world was an announcement earlier this year that computer giant Hewlett Packard would be partnering with Apple to put out an HP-branded iPod.,"Hewlett Packard Co. has announced a new line of MP3 players that will allow users to download music from their iPods. The new models are designed to work with Apple Computer #39;s iPod, Apple #39;s iPod and Apple #39;s iPod."
49172,2,A return to power for Clinton in Washington,"His November in the nation #39;s capital was almost as inconspicuous as John Kerry #39;s. Clinton Portis, Joe Gibbs #39; prized offseason acquisition - he got five years and \$28 million ","The president of the United States, Bill Clinton, has returned to power in Washington. He will be able to take over as president of the United States, he said on Tuesday."
32679,3,Beware of the lazy banker,"If interest rates go up, you may think you will suffer if you have a loan and benefit if you have bank deposits. However, the interest rate effect could play out quite differently.","quot;It #39;s a big deal, quot; said the head of the bank. It #39;s a big deal, quot; and it #39;s a big deal, quot; he said. quot;It #39;s a big deal, quot; he said. quot;It #39;s a big deal, quot; he said. quot;It #39;s a big deal, quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot; quot;"
82381,1,"EU, meeting Iraqi PM, urged to heal divisions",BRUSSELS : European leaders were urged to forget their past divisions over Iraq as they met the country #39;s interim leader on the second day of a summit in Brussels.,"The European Union, in a meeting with Iraqi Prime Minister Ayatollah Ali al-Sadr, has urged the country to heal its divisions, urging the country to redouble efforts to resolve the crisis."
26021,3,"Time Warner Inc. Withdraws Bid for MGM, Citing Price (Update3)","Time Warner Inc., the world #39;s largest media company, withdrew its bid for Metro-Goldwyn-Mayer Inc. after it could not reach agreement on the price of the film studio controlled by billionaire investor Kirk Kerkorian.","Time Warner Inc., the world #39;s largest film studio, has withdrawn its bid for MGM Studios Inc., citing a $1 billion price increase."
51103,1,"Edwards, Cheney Gear Up for Sole VP Debate (AP)",AP - Both presidential campaigns are looking for a boost at the other's expense Tuesday when Vice President Dick Cheney and Democratic rival John Edwards square off for the only vice presidential debate of the 2004 election.,"AP - Former Democratic presidential candidate John Edwards and former Republican Sen. John Cheney are gearing up for a joint presidential debate on Tuesday, as the two men prepare to meet in person."
38818,1,Material RCMP passed to U.S. officials was used in Arar's deportation hearing (Canadian Press),"Canadian Press - OTTAWA (CP) - Information the RCMP passed to U.S. officials in sloppy fashion was used in a hearing that resulted in Ottawa engineer Maher Arar's deportation to Syria, where he was imprisoned for months as a terrorism suspect.","Canadian Press - OTTAWA (CP) - The material RCMP passed to U.S. officials was used in the deportation hearing of former Canadian Prime Minister Arar, who was accused of stealing a car bomb and stealing his wife's passport."
21233,2,A Sport Salutes Its Jackie Robinson,"It is impossible for young tennis players today to know what it was like to be Althea Gibson and not to be able to  quot;walk in the front door, quot; Garrison said.","SAN FRANCISCO (Reuters) - The United States is celebrating Jackie Robinson #39;s victory in the World Cup of Baseball, a sport that has been hailed as quot;the greatest of all time quot; by the world's top athletes."
